species_name,establishment_light_environment_index,plant_tolerance_snow,fire_time_from_fire_to_fruiting,parasitic,reproductive_maturity,vegetative_reproduction_ability,plant_tolerance_calcicole,seedbank_location,clonal_spread_mechanism,seed_viability,lifespan,post_fire_flowering,plant_height,flowering_cues,fire_time_from_fire_to_flowering,pollination_syndrome,pollination_system,life_history_ephemeral_class,flowering_time,fire_time_from_fire_to_flowering_decline,plant_tolerance_salt,plant_type_by_resource_use,serotiny,plant_climbing_mechanism,resprouting_capacity_non_fire_disturbance,dispersal_syndrome,flower_colour,seedbank_longevity_class,nitrogen_fixing,plant_tolerance_soil_salinity,fruit_colour,post_fire_recruitment,seed_germination,seedbank_longevity,resprouting_capacity,root_structure,seed_dormancy_class,plant_growth_substrate,plant_tolerance_fire,seed_germination_treatment,seedling_germination_location,resprouting_capacity_juvenile,sex_type,bud_bank_location,seedling_establishment_conditions,plant_flood_regime_classification,plant_physical_defence_structures,sprout_depth,plant_tolerance_inundation,flower_structural_sex_type,resprouting_capacity_proportion_individuals,stem_growth_habit,fruiting_time,seed_germination_time,plant_tolerance_water_logged_soils,fire_time_from_fire_to_50_percent_flowering,recruitment_time,leaf_type,reproductive_light_environment_index,fire_time_from_fire_to_50_percent_fruiting,fire_time_from_fire_to_peak_flowering,storage_organ,competitive_stratum,ploidy,root_system_type,life_history,germination_treatment,dispersers,plant_growth_form,dispersal_unit,resprouting_capacity_time_from_germination,genome_size
Hemigenia purpurea,,,24.1860465116279 (1),,2 (2); 3 (1),,,soil_seedbank (1),,,20 (1); 40 (1),,0.1 (1); 0.5 (1); 1 (1); 2 (1),,23.2558139534884 (1); 24.1860465116279 (1),,,,ynnnnyyyyyyy (1); yyyynnnyyyyy (2),,,,,,,myrmecochory (2),blue_purple (1),persistent (1),,,,post_fire_recruitment (1),,,fire_killed (3); partial_resprouting (1),,physiological_dormancy (1),,,heat (1),,,hermaphrodite (1),basal_buds (1); none (1),,,,,,bisexual (1),,prostrate (1),,357 (1),,,,,,,,,,,,perennial (2),,,shrub (4); subshrub (1),,,
Heptapleurum actinophyllum,,,,,6--10 (1),,,soil_seedbank (1),non_clonal (1),,,,0.01 (1); 10 (2); 20 (1); 24 (2),,,fly (1),,,nnnnnnnyyyyy (1); nnyyynnnnnnn (1); yyyyynnnnyyy (1),,,,,,,endozoochory (1); zoochory (1),red_brown (1),persistent (1); short_persistent (1),non_nitrogen_fixer (1),,red (1),,,1-- (1); 1--5 (1),fire_killed (1); partial_resprouting (1); resprouts (2),mycorrhizal (1),,epiphyte (1),,,,,hermaphrodite (2),none (2),,,absent (1),,,,,,yyyyynnnnyyy (1),,,,,broadleaf (1),,,,,,,,perennial (3),,bats (1); birds (1); mammals (1),shrub (3); tree (8),,,
Heptapleurum arboricola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hermaphrodite (1),,,,,,,bisexual (1),,,,,,,,,,,,,,,,perennial (1),,,shrub (1),,,
Hernandia bivalvis,,,,,,,,,,,,,12 (3),,,,,,nnnnnnnnnynn (1); nnnnnnnnnyyy (1),,,,,,,,,,,,black (1),,,,,,,,,,,,monoecious (2),,,,,,,,,,yyynnnnnnnnn (1),,,,,,,,,,,,,perennial (2),,,tree (5),,,
Hibbertia acicularis,,not_applicable (1),36 (2),not_parasitic (1),1--5 (1),not_vegetative (1),,soil_seedbank (1),non_clonal (1),,20--50 (1); <50 (1),,0.3 (3); 0.4 (1); 1.5 (1),,,insect (1),biotic_unspecialised (1),,nnnnnnnnnyyy (2); yynnnnnnyyyy (2),,glycophyte (1),,,,resprouts_non_fire_disturbance (1),myrmecochory (1); zoochory (1),yellow_orange (1),long_persistent (1); persistent (2),non_nitrogen_fixer (2),,,post_fire_recruitment (3); post_fire_recruitment_absent (1),,10-- (1); 2-- (1),fire_killed (1); resprouts (6),arbuscular_mycorrhizal (1),morphophysiological_dormancy (1),,,,,juvenile_fire_killed (1),hermaphrodite (2); monoecious (1),basal_stem_buds (3); bud-bearing_root (1),establish_post_fire (1),,sharp_pointed_defence (1),,less_than_1_month (1),,,decumbent (1); erect (2); prostrate (1); sprawling (1); spreading (1),nnnnnnnnnyyy (1),,less_than_1_month (1),,,,,,,,,,,perennial (7),,invertebrates (1),shrub (9); subshrub (1),,,
Hibbertia aspera,,not_applicable (1),,not_parasitic (1),1--5 (1),not_vegetative (1),,,,,<50 (1),,0.25 (1); 0.6 (3); 2 (1),,11.6279069767442 (1),insect (2),,,nnnnnnnyyyyy (1); ynnnnnnyyyyy (1); yynnnnnnnnny (2),,glycophyte (1),,,twining,resprouts_non_fire_disturbance (1),barochory (1); myrmecochory (3); zoochory (1),yellow_orange (1),persistent (1),non_nitrogen_fixer (2),,,,,2-- (1),fire_killed (1); resprouts (3),,morphophysiological_dormancy (1),,,,,,hermaphrodite (2); monoecious (1),basal_buds (1); basal_stem_buds (2); none (1),,,absent (1),,less_than_1_month (1),,,"climbing (1); decumbent (1); erect (2); prostrate (1), erect",,,less_than_1_month (1),,,,,,,,,,,perennial (4),,ants (1); invertebrates (1); passive (1),"shrub, shrub (8); subshrub (1)",,,
Hibbertia aspera subsp. aspera,,not_applicable (1),,not_parasitic (1),1--5 (1),not_vegetative (1),,soil_seedbank (1),,,22 (1); <50 (1),,0.6 (1); 0.7 (1),,12 (1),insect (1),,,nnnnnnnnyyyy (1); yynnnnnnnnny (1),,glycophyte (1),,,,resprouts_non_fire_disturbance (1),zoochory (1),,persistent (2),non_nitrogen_fixer (1),,,post_fire_recruitment (1),,2-- (1),fire_killed (1); partial_resprouting (1); resprouts (1),,,,,,,,,basal_buds (1); none (1),,,absent (1),,less_than_1_month (1),,,decumbent (2); erect (1); spreading (1),,,less_than_1_month (1),,,,,,,,,,,perennial (3),,invertebrates (1),shrub (5),,,
Hibbertia aspera subsp. pilosifolia,,not_applicable (1),,not_parasitic (1),1--5 (1),not_vegetative (1),,,,,<50 (1),,0.5 (1),,,insect (1),,,ynnnnnnyyyyy (1),,glycophyte (1),,,,resprouts_non_fire_disturbance (1),zoochory (1),,persistent (1),non_nitrogen_fixer (1),,,,,2-- (1),resprouts (1),,,,,,,,,,,,absent (1),,less_than_1_month (1),,,decumbent (1); erect (1),,,less_than_1_month (1),,,,,,,,,,,perennial (2),,invertebrates (1),shrub (3),,,
Hibbertia circumdans,,not_applicable (1),,not_parasitic (1),1--5 (1),not_vegetative (1),,,,,<50 (1),,0.6 (1),,,insect (1),,,yyyyynnnyyyy (2),,salinity_tolerance_undefined (1),,,,resprouts_non_fire_disturbance (1),zoochory (1),yellow_orange (1),persistent (1),non_nitrogen_fixer (1),,,,,2-- (1),resprouts (1),,morphophysiological_dormancy (1),,,,,,hermaphrodite (1),,,,absent (1),,not_applicable (1),,,erect (1),,,not_applicable (1),,,,,,,,,,,perennial (2),,invertebrates (1),shrub (3),,,
Hibbertia dentata,,not_applicable (3),,not_parasitic (3),1 (1); 1--5 (3),not_vegetative (3),,soil_seedbank (1),,,22 (1); 50-500 (3),,1.5 (1),,12 (1); 8.83720930232558 (1),insect (3),,,nnnnnnnnnyyn (3); nnnnnnnnyyyn (2); nnnnnnnyyyyn (1),,glycophyte (3),,,,resprouts_non_fire_disturbance (3),myrmecochory (2); zoochory (3),yellow_orange (1),persistent (4),non_nitrogen_fixer (3),,,post_fire_recruitment (1),,2-- (3),resprouts (6),,morphophysiological_dormancy (1),,,,,,hermaphrodite (1),basal_buds (1); basal_stem_buds (2); epicormic_buds (1),,,absent (3),,not_applicable (3),,,climbing (1); sprawling (1),,273 (1),not_applicable (3),,,,,,48 (1); 60 (1),,,,,perennial (1),,invertebrates (3),climber (6); climber_herbaceous (5); climber_woody (2),,,
Hibbertia diffusa,,not_applicable (1),,not_parasitic (1),1--5 (1),not_vegetative (2),,soil_seedbank (1),,,<50 (1),,0.2 (1); 0.3 (1); 0.5 (1),,5.34883720930233 (1); 6 (1),insect (1),,,nnnnnnnnnnyn (1); nnnnnnnnnynn (1); nnnnnnnnnyyy (1); nnnnnnnnyyyn (1); yynnnnnyyyyy (1); yyyyynnnyyyy (2),,glycophyte (1),,,,resprouts_non_fire_disturbance (1),zoochory (1),yellow_orange (1),persistent (2),non_nitrogen_fixer (2),,,post_fire_recruitment (1),,2-- (1),fire_killed (1); partial_resprouting (1); resprouts (2),,morphophysiological_dormancy (1),,,,,,hermaphrodite (1),none (1),,,absent (1),,not_applicable (1),,,"decumbent (2); mat-forming (1); prostrate (3), prostrate",,,not_applicable (1),,,,,,,,ground,,,perennial (3),,invertebrates (1),"shrub, shrub (7)",,,
Hibbertia empetrifolia,,days (1),12 (1),not_parasitic (1),1 (1); 1--5 (1),not_vegetative (1),,,non_clonal (1),,<50 (1),,0.3 (1); 0.5 (1); 0.6 (1); 1 (2),,12 (1),insect (2),biotic_unspecialised (1),,nnnnnnnnnnnn (1); yynnnnnyyyyy (1); yyynnnnnyyyy (1); yyyyyyyyyyyy (1),,glycophyte (1),,,,resprouts_non_fire_disturbance (1),barochory (1); myrmecochory (3); zoochory (1),yellow_orange (1),persistent (1),non_nitrogen_fixer (2),,,,,2-- (1),resprouts (4),arbuscular_mycorrhizal (1),morphophysiological_dormancy (1),,,,,juvenile_resprout (1),hermaphrodite (2); monoecious (1),basal_buds (1); basal_stem_buds (1),,,absent (1),,less_than_1_month (1),,,decumbent (1); spreading (1),,,less_than_1_month (1),,,,,,,,,,,perennial (3),,ants (1); invertebrates (1); passive (1),shrub (8); subshrub (2),,,
Hibbertia empetrifolia subsp. empetrifolia,,days (3),,not_parasitic (3),1--5 (3); 2 (1),not_vegetative (3),,soil_seedbank (1),,,25 (1); 60 (1); <50 (3),,0.3 (1); 0.6 (1),,15.6 (1),insect (3),,,nnnnnyyyyynn (1); yynnnnnyyyyy (2); yyynnnnyyyyy (1); yyyyyyyyyyyy (1),,glycophyte (3),,,,resprouts_non_fire_disturbance (3),zoochory (3),,persistent (4),non_nitrogen_fixer (3),,,post_fire_recruitment (1),,2-- (3),resprouts (5),,,,,,,,,basal_buds (1); basal_stem_buds (1),,,absent (3),,less_than_1_month (3),,,decumbent (1); prostrate (1); spreading (2),nnnnnnnnnnyy (1),,less_than_1_month (3),,,,,,,,,,,perennial (4),,invertebrates (3),shrub (8),,,
Hibbertia empetrifolia subsp. radians,,days (1),96 (1),not_parasitic (1),1--5 (1); 8 (1),not_vegetative (1),,soil_seedbank (2),,,<50 (1),,0.5 (1); 1 (1),,,insect (1),,,nnnnnnnnyyyy (1); yynnnnnnnnny (2),,glycophyte (1),,,,resprouts_non_fire_disturbance (1),zoochory (1),white_cream (1); yellow_orange (1),persistent (1),non_nitrogen_fixer (1),,,post_fire_recruitment (1),,2-- (1),fire_killed (3); resprouts (1),,,,,,,,,none (1),,,absent (1),,less_than_1_month (1),,,prostrate (1),,,1-6_months (1); less_than_1_month (1),,,,,,,,,,,perennial (2),,invertebrates (1),shrub (5),,,
Hibbertia fumana,,,,,,,,,,,,,0.2 (1),,,,,,,,,,,,,,,,,,,,,,,,morphophysiological_dormancy (1),,,,,,hermaphrodite (1),,,,,,,,,decumbent (1); prostrate (1),,,,,,,,,,,,,,perennial (2),,,shrub (2),,,
Hibbertia hypericoides,,,,,,vegetative (1),,soil_seedbank (2),,,,,0.2 (1); 0.3 (1); 0.8 (1); 1 (1); 1.5 (1),,0--24 (1); 22 (1),,,,nnnnnnnyyyyn (1); nnnyyyyyyyyy (1),,,,,,,,,,non_nitrogen_fixer (2),,,post_fire_recruitment (34),,,resprouts (38),arbuscular_mycorrhizal (4),morphophysiological_dormancy (1),,,chemical_treatment (1); smoke (1),,,hermaphrodite (1),basal_buds (2); basal_stem_buds (1),,,,,,,,erect (2); spreading (2),,50 (1); 64 (1); 74 (1),,,,,,,,,,,,perennial (6),,,shrub (6),,,
Hibbertia hypericoides subsp. hypericoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perennial (2),,,shrub (2),,,
Hibbertia hypericoides subsp. septentrionalis,,,,not_parasitic (1),,,,,,,,,0.8 (1),,,,,,nyyyyyyyyynn (1),,,,,,,,,,,,,,,,resprouts (1),arbuscular_mycorrhizal (1),,,,,,,,,,,absent (1),,,,,decumbent (1),,,,,,,,,,,,,,perennial (3),,,shrub (2),,,
Hibbertia linearis,,days (1),,not_parasitic (1),1--5 (1); 2 (1),not_vegetative (1),,soil_seedbank (1),,,<50 (1),,0.5 (2); 2 (2),,16.7441860465116 (1),insect (1),,,nnnnnnnnyyyy (1); nnnnyyyyyynn (1); yynnnnnnyyyy (2),,glycophyte (1),,,,resprouts_non_fire_disturbance (1),myrmecochory (3); zoochory (1),yellow_orange (1),persistent (2),non_nitrogen_fixer (1),,,post_fire_recruitment (1); post_fire_recruitment_absent (1),,2-- (1),fire_killed (3); partial_resprouting (1); resprouts (1),,morphophysiological_dormancy (1),,,,,,hermaphrodite (1),basal_buds (1); basal_stem_buds (1); none (1),,,absent (1),,not_applicable (1),,,erect (1),,182 (1),not_applicable (1),20 (1),,,,,48 (1); 72 (1),,,,,perennial (2),,ants (1); invertebrates (1),shrub (8),,,
Hibbertia linearis var. floribunda,,days (1),,not_parasitic (1),1--5 (1),not_vegetative (1),,,,,<50 (1),,,,,insect (1),,,nnnnnnnnyyyy (1),,glycophyte (1),,,,resprouts_non_fire_disturbance (1),zoochory (1),,persistent (1),non_nitrogen_fixer (1),,,,,2-- (1),resprouts (1),,,,,,,,,,,,absent (1),,not_applicable (1),,,,,,not_applicable (1),,,,,,,,,,,perennial (1),,invertebrates (1),shrub (2),,,
Hibbertia linearis var. grandiflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perennial (1),,,shrub (1),,,
Hibbertia linearis var. linearis,,days (1),,not_parasitic (1),1--5 (1),not_vegetative (1),,,,,<50 (1),,,,,insect (1),,,nnnnnnnnyyyy (1),,glycophyte (1),,,,resprouts_non_fire_disturbance (1),zoochory (1),,persistent (1),non_nitrogen_fixer (1),,,,,2-- (1),resprouts (1),,,,,,,,,,,,absent (1),,not_applicable (1),,,,,,not_applicable (1),,,,,,,,,,,perennial (1),,invertebrates (1),shrub (2),,,
Hibbertia monogyna,,not_applicable (1),,not_parasitic (1),1--5 (1); 4 (1),not_vegetative (1),,,,,<50 (1),,0.6 (2),,,insect (1),,,nnnnnnnnyyyy (1); yyyyynnnyyyy (2),,glycophyte (1),,,,resprouts_non_fire_disturbance (1),zoochory (1),yellow_orange (1),persistent (1),non_nitrogen_fixer (1),,,post_fire_recruitment (1),,2-- (1),fire_killed (2); resprouts (1),,morphophysiological_dormancy (1),,,,,,hermaphrodite (1),none (1),,,absent (1),,not_applicable (1),,,erect (2),,,not_applicable (1),,,,,,,,,,,perennial (3),,invertebrates (1),shrub (5),,,
Hibbertia nitida,,,,,,,,,,,,,1 (2),,,,,,nnnnnnnnyyyn (2),,,,,,,myrmecochory (2),yellow_orange (1),,,,,,,,fire_killed (3),,morphophysiological_dormancy (1),,,,,,hermaphrodite (1),none (1),,,,,,,,erect (1),,945 (1),,,,,,,,,,,,perennial (2),,ants (1),shrub (4),,,
Hibbertia pedunculata,,days (1); weeks (1),,not_parasitic (1),1--5 (1),not_vegetative (1),,soil_seedbank (1),,,<50 (1),,0.4 (1),,,insect (1),,,nnnnnnnnnynn (1); nnnnnnnnyynn (1); nnnnnnnnyyyy (1); yyynnnnnnyyy (1); yyyyynnnyyyy (2),,glycophyte (1),,,,resprouts_non_fire_disturbance (1),zoochory (1),yellow_orange (1),persistent (2),non_nitrogen_fixer (1),,,,,2-- (1),resprouts (3),,morphophysiological_dormancy (1),,,,,,hermaphrodite (1),,,,absent (1),,less_than_1_month (1),,,erect (1); prostrate (1),,,less_than_1_month (1),,,,,,,,,,,perennial (2),,invertebrates (1),shrub (5),,,
Hibbertia puberula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morphophysiological_dormancy (1),,,,,,hermaphrodite (1),,,,,,,,,,,,,,,,,,,,,,,perennial (2),,,shrub (2),,,
Hibbertia puberula subsp. extensa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perennial (2),,,shrub (2),,,
Hibbertia puberula subsp. glabrescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perennial (2),,,shrub (2),,,
Hibbertia puberula subsp. puberula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perennial (2),,,shrub (2),,,
Hibbertia riparia,,days (2); not_applicable (1),24 (3); 25.1162790697674 (1),not_parasitic (3),1--5 (3); 2 (1),not_vegetative (4),,soil_seedbank (1),non_clonal (1),,20--50 (1); 40 (1); 80 (1); <50 (3),,0.5 (1); 0.6 (3); 0.9 (1); 1 (1); 1.2 (4),,20.6976744186047 (1); 24 (1),insect (4),biotic_unspecialised (1),,nnnnnnnnyyyy (3); nnnnyyyyyyyy (1); nnnyynnnnnnn (1); yynnnnnnyyyy (2),,glycophyte (3),,,,resprouts_non_fire_disturbance (3),barochory (1); myrmecochory (5); undefined (1); zoochory (3),yellow_orange (1),long_persistent (1); persistent (4),non_nitrogen_fixer (5),,,post_fire_recruitment (2),,10-- (1); 2-- (3),resprouts (14),arbuscular_mycorrhizal (1),morphophysiological_dormancy (1),,,,,juvenile_resprout (1),hermaphrodite (2); monoecious (1),basal_buds (2); basal_stem_buds (7),establish_post_fire (1),,absent (3),,less_than_1_month (3),,,decumbent (1); erect (2); prostrate (1); spreading (1),ynnnnnnyyyyy (1),,1-6_months (2); less_than_1_month (3),,,,,,,lignotuber (1),,,,perennial (8),,ants (2); invertebrates (3); passive (1),shrub (19),,,
Hibbertia scandens,2.8 (1),not_applicable (1),,not_parasitic (1),1 (1); 1--5 (1); 5 (1); 5--10 (1),not_vegetative (1),,soil_seedbank (1),,,30 (1); 5 (1); <50 (1),,2 (1); 22 (1),,,butterfly (1); insect (1),insect (1),,nnnnnnnnnnnn (1); yyyyyynnnnnn (1); yyyyyyyyyyyy (3),,salt_spray_tolerant (1),,,twining (1),,endozoochory (3); zoochory (3),yellow_orange (1),persistent (2),non_nitrogen_fixer (1),,,post_fire_recruitment (1),,2-- (1),fire_killed (2); resprouts (5),,morphophysiological_dormancy (2),,,,hypogeal (1),,hermaphrodite (1),basal_buds (2); basal_stem_buds (1),,,absent (1),,not_applicable (1),bisexual (1),,climbing (1); prostrate (1),ynnyyynnnnnn (1); yyyynnnnnnnn (1),,not_applicable (1),,,,7 (1),,,,,,,perennial (1),,birds (3); invertebrates (1); vertebrates (2),climber (5); climber_herbaceous (4); climber_woody (3); shrub (1),,,
Hibbertia scandens var. glabra,,,,,2 (1),,,,,,,,,,24 (1),,,,yyyyyyyyyyyy (1),,,,,,,endozoochory (1),,,,,,post_fire_recruitment_absent (1),,,resprouts (2),,,,,,,,,basal_stem_buds (1); epicormic_buds (1); stem_buds (1),,,,,,,,,,,,,,,,,,,,,,perennial (1),,,climber (1); climber_herbaceous (1); climber_woody (1),,,
Hibbertia scandens var. oxyphylla,,,,,,,,,,,,,,,,,,,,,,,,,,endozoochory (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perennial (1),,,climber_woody (1),,,
Hibbertia scandens var. scandens,,,,,2 (1),,,,,,,,,,24 (1),,,,,,,,,,,endozoochory (1),,,,,,post_fire_recruitment (1),,,resprouts (2),,,,,,,,,basal_buds (1); basal_stem_buds (2),,,,,,,,,,,,,,,,,,,,,,perennial (1),,,climber (1); climber_herbaceous (1); climber_woody (1),,,
Hibbertia serpyllifolia,,days (1); weeks (1),,not_parasitic (1),1--5 (1); 2 (1),not_vegetative (1),,soil_seedbank (1),,,40 (1); 80 (1); <50 (1),,0.3 (1); 0.5 (1); 0.6 (2),,24 (1),insect (1),,,nnnnnnnyyynn (1); ynnnnnnnyyyy (1); yynnnnnnnyyy (1); yynnnnnnyyyy (2),,glycophyte (1),,,,resprouts_non_fire_disturbance (1),myrmecochory (2); zoochory (1),yellow_orange (1),persistent (2),non_nitrogen_fixer (1),,,post_fire_recruitment (2); post_fire_recruitment_absent (1),,2-- (1),fire_killed (1); resprouts (4),arbuscular_mycorrhizal (1),morphophysiological_dormancy (1),,,,,,hermaphrodite (2); monoecious (1),basal_buds (1); basal_stem_buds (2),,,absent (1),,not_applicable (1),,,prostrate (1),ynnnnnnnyyyy (1),,not_applicable (1),,,,,,,,,,,perennial (3),,invertebrates (1),shrub (7); subshrub (1),,,
Hibbertia stricta,,days (2),,not_parasitic (2),1--5 (2),not_vegetative (3),,,non_clonal (1),,<50 (2),,0.8 (2); 1.2 (1); 1.3 (2),,,insect (3),biotic_unspecialised (1),,nnnnnnnnyyyy (2),,glycophyte (2),,,,resprouts_non_fire_disturbance (2),barochory (1); myrmecochory (2); zoochory (2),,persistent (2),non_nitrogen_fixer (3),,,post_fire_recruitment (1),,2-- (2),resprouts (3),arbuscular_mycorrhizal (2),morphophysiological_dormancy (1),,,,,,hermaphrodite (1),,,,absent (2),,less_than_1_month (2),,,,,,less_than_1_month (2),,,,,,,,,,,perennial (5),,ants (1); invertebrates (2); passive (1),shrub (7),,,
Hibbertia stricta subsp. furcatula,,,,,,,,,,,,,0.8 (1); 1.3 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perennial (2),,,shrub (2),,,
Hibbertia vestita,,,,,,,,soil_seedbank (1),,,,,0.3 (1),,,,,,nnnnnnnnnnnn (1); yyyyyyyyyyyy (1),,,,,,,,yellow_orange (1),persistent (1),,,,post_fire_recruitment (1); post_fire_recruitment_absent (1),,,resprouts (5),arbuscular_mycorrhizal (1),morphophysiological_dormancy (1),,,,,,hermaphrodite (1),basal_buds (1); basal_stem_buds (3),,,,,,,,prostrate (1),,,,,,,,,,,,,,perennial (2),,,shrub (5),,,
Hibbertia vestita var. thymifolia,,,,,,,,,,,,,0.3 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,decumbent (1); prostrate (1),,,,,,,,,,,,,,perennial (2),,,shrub (2),,,
Hibbertia vestita var. vestita,,,,,,,,,,,,,0.3 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,decumbent (1); prostrate (1),,,,,,,,,,,,,,perennial (2),,,shrub (2),,,
Hibiscus brachysiphonius,,not_applicable (1),,not_parasitic (1),1 (1); 1--5 (1),not_vegetative (1),,,,,0--1 (1); <50 (1),,0.1 (3); 0.2 (1); 0.3 (3); 0.5 (1),,,bird (1); insect (2),,,nnnnnnnyyynn (1); yyyynnnnnnny (1),,salinity_tolerance_undefined (1),,,,,anemochory (1); barochory (2); hydrochory (1); zoochory (1),pink (1),persistent (2),non_nitrogen_fixer (1),,,post_fire_recruitment (1),0.5 (1); 0.8 (1),1-- (1); 2-- (1),fire_killed (3),,,,,imbibe_hot (1),,,hermaphrodite (1),none (1),,,absent (1),,less_than_1_month (1),,,decumbent (1); erect (2); prostrate (3); spreading (2),,,1-6_months (1); less_than_1_month (1),,,,,,,,,,,annual (2); perennial (6),,invertebrates (1); water (1); wind (1),herb (7); shrub (4); subshrub (3),,,
Hibiscus divaricatus x Hibiscus heterophyllus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hermaphrodite (1),,,,,,,,,,,,,,,,,,,,,,,perennial (1),,,shrub (1),,,
Hibiscus heterophyllus,,,,,,not_vegetative (1),,,,,,,8 (2),,,,,,nnnnyyyyyyyy (1),,,,,,,,blue_purple (1); pink (2); white_cream (2); yellow_orange (2),,,,,,,,,,physical_dormancy (1),,,,,,hermaphrodite (1),,,,,,,bisexual (1),,,nnnnnnnnyyyy (1),,,,,,,,,,,,,perennial (2),,,shrub (3); tree (3),,,
Hibiscus heterophyllus subsp. heterophyllus,,,,,,,,soil_seedbank (1),,,10 (1); 40 (1),,,,,,,,,,,,,,,,,persistent (1),,,,post_fire_recruitment (1),,,fire_killed (2),,,,,heat (1),,,,none (1),,,,,,,,,,,,,,,,,,,,,,perennial (2),,,shrub (3); tree (2),,,
Hibiscus heterophyllus x Hibiscus meraukensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hermaphrodite (1),,,,,,,,,,,,,,,,,,,,,,,perennial (1),,,shrub (1),,,
Hibiscus heterophyllus x Hibiscus splendens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hermaphrodite (1),,,,,,,,,,,,,,,,,,,,,,,perennial (1),,,shrub (1); tree (1),,,
Hibiscus mutabilis,,,,,,,,,,,,,2 (1); 3 (1); 4 (1),,,,,,nnnnynnnnnnn (1),,,,,,,,,,,,,,,,,,,,,,,,hermaphrodite (1),,,,,,,,,,,,,,,,,,,,,,,perennial (3),,,shrub (3); tree (3),,,
Hibiscus rosa-sinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hermaphrodite (1),,,,,,,,,,,,,,,,,,,,,,,perennial (1),,,shrub (1); tree (1),,,
Hippeastrum carinatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bulb (1),,,,perennial (2),,,herb (2),,,
Hippeastrum zephyranthum,,,,,,,,,,,,,,,,,,,nyyyynnnnnnn (1),,,,,,,,white_cream (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broadleaf (1),,,,bulb (2),,,,perennial (3),,,herb (3),,,
Hirschfeldia incana,,,,,,,,,,,,,1 (4),,,,,,,,,,,,,,blue_purple (1); yellow_orange (1),,,,,,,,,,,,,,,,,,,,,,,,,erect (3),,,,,,,,,,,,,,annual (4); biennial (4); perennial (3),,,herb (6),,,
Holcus lanatus,,,,,,not_vegetative (1),,soil_seedbank (2),,,50--100 (1),,0.3 (1); 0.7 (1); 1 (3); 1.2 (1); 1.5 (1),,,wind (1),,,yynnnnnnyyyy (1),,,,,,,anemochory (1),,transient (1),non_nitrogen_fixer (2),,,post_fire_recruitment (2),,--2 (1),fire_killed (2); partial_resprouting (1); resprouts (3),arbuscular_mycorrhizal (2),,,,,,juvenile_fire_killed (1),hermaphrodite (1),root_crown (1),establish_anytime (1),,,,,,,caespitose (3); erect (3),,,,,,,,,,,,,tap_root_absent (1),annual (2); perennial (10); short_lived_perennial (1),,,graminoid (7); herb (6); tussock (2),,,
Homalanthus populifolius,,,,,3 (1),,,,,,20 (1); 30 (1),,12 (1); 3 (1); 6 (1); 7 (2); 8 (1),,,,,,nnnnnnnyyyyy (1); nnnnnnyyyyyy (1),,,,not_serotinous (1),,,endozoochory (1); zoochory (1),,,,,,post_fire_recruitment (1),0 (5); 0.1 (1),,fire_killed (1); resprouts (7),,,,,,,,monoecious (3),basal_buds (2); basal_stem_buds (3),,,,,,unisexual (1),,bushy (1),ynnnnnnnnnyy (1); yyynnnnnnnny (1),42 (1),,,,,,,,,,,,perennial (3),,birds (2),shrub (7); tree (9),,,
Hordeum glaucum,,,,,,,,,,,50--100 (1),,0.15 (1); 0.3 (1); 0.4 (1); 0.5 (1),,,,,,nnnnnnnnyyyn (1),,,,,,,,,widely_dispersed (1),,,,post_fire_recruitment (1),,,fire_killed (1),,,,,,,juvenile_fire_killed (1),,,establish_anytime (1),,,,,,,caespitose (1); erect (1),,,,,,,,,,,,,,annual (7),,,graminoid (7); herb (5),,,
